COM_CODE3,Company HMRC Ref,Month
848790900,150,2016-01-01
732510000,16,2016-01-01
800700100,5,2016-01-01
830629000,26,2016-01-01
300210100,38,2016-01-01
320990000,44,2016-01-01
350699000,54,2016-01-01
391610000,9,2016-01-01
392350100,43,2016-01-01
560819110,8,2016-01-01
580121000,7,2016-01-01
630720000,18,2016-01-01
681381000,19,2016-01-01
691010000,10,2016-01-01
700711900,11,2016-01-01
700721800,9,2016-01-01
730490000,22,2016-01-01
731100110,20,2016-01-01
731100300,6,2016-01-01
731812100,19,2016-01-01
731824000,17,2016-01-01
731829000,127,2016-01-01
732010110,18,2016-01-01
732290000,16,2016-01-01
760810000,11,2016-01-01
760900000,20,2016-01-01
761610000,28,2016-01-01
810199100,5,2016-01-01
820340000,9,2016-01-01
830140900,35,2016-01-01
830242000,29,2016-01-01
830810000,10,2016-01-01
840910000,44,2016-01-01
841111000,10,2016-01-01
841191000,94,2016-01-01
841199000,85,2016-01-01
841210000,9,2016-01-01
841221200,50,2016-01-01
841229200,17,2016-01-01
841229810,35,2016-01-01
841290400,33,2016-01-01
841311000,47,2016-01-01
841319000,56,2016-01-01
841360200,31,2016-01-01
841381000,67,2016-01-01
841459200,43,2016-01-01
841480800,27,2016-01-01
841950000,73,2016-01-01
841981200,23,2016-01-01
841981800,25,2016-01-01
842119700,16,2016-01-01
842123000,61,2016-01-01
842131000,49,2016-01-01
842410000,50,2016-01-01
842810200,13,2016-01-01
847150000,161,2016-01-01
848120900,41,2016-01-01
848180110,52,2016-01-01
848180190,28,2016-01-01
848310210,56,2016-01-01
848310290,14,2016-01-01
848310500,17,2016-01-01
848340290,13,2016-01-01
850132000,29,2016-01-01
850410200,47,2016-01-01
850431210,24,2016-01-01
850431290,22,2016-01-01
850440550,48,2016-01-01
850710200,13,2016-01-01
851180000,21,2016-01-01
851310000,31,2016-01-01
851690000,39,2016-01-01
851810300,60,2016-01-01
851890000,53,2016-01-01
851950000,3,2016-01-01
851989900,34,2016-01-01
852691200,50,2016-01-01
852691800,34,2016-01-01
852841000,49,2016-01-01
852910650,7,2016-01-01
852910690,22,2016-01-01
852910800,11,2016-01-01
852910950,29,2016-01-01
853110950,54,2016-01-01
853400190,63,2016-01-01
853510000,21,2016-01-01
853641100,19,2016-01-01
853641900,21,2016-01-01
853710100,91,2016-01-01
853710990,168,2016-01-01
853910000,31,2016-01-01
854430000,58,2016-01-01
880320000,62,2016-01-01
900290000,27,2016-01-01
901410000,24,2016-01-01
901420200,24,2016-01-01
901420800,32,2016-01-01
901780900,12,2016-01-01
902229000,7,2016-01-01
902610210,138,2016-01-01
902610290,64,2016-01-01
902680200,96,2016-01-01
902720000,32,2016-01-01
902920380,15,2016-01-01
903180340,68,2016-01-01
903180380,151,2016-01-01
903210200,55,2016-01-01
903281000,53,2016-01-01
910400000,13,2016-01-01
920890000,8,2016-01-01
940110000,30,2016-01-01
940190100,46,2016-01-01
940592000,10,2016-01-01
390210000,31,2016-01-01
970300000,100,2016-01-01
730424000,6,2016-01-01
820320000,33,2016-01-01
853669300,32,2016-01-01
853690010,63,2016-01-01
853690200,10,2016-01-01
853890110,36,2016-01-01
853890190,22,2016-01-01
853890910,68,2016-01-01
854449910,20,2016-01-01
620349190,3,2016-01-01
620590100,9,2016-01-01
850163000,8,2016-01-01
850211800,14,2016-01-01
850212000,20,2016-01-01
850213200,8,2016-01-01
850213400,8,2016-01-01
850213800,3,2016-01-01
850240000,6,2016-01-01
850431800,40,2016-01-01
820231000,5,2016-01-01
844190100,24,2016-01-01
731210200,35,2016-01-01
854419000,25,2016-01-01
870821900,27,2016-01-01
420221000,113,2016-01-01
420222100,41,2016-01-01
420231000,42,2016-01-01
420292910,50,2016-01-01
420340000,25,2016-01-01
630510100,48,2016-01-01
871640000,14,2016-01-01
847490100,39,2016-01-01
950611100,19,2016-01-01
902710100,108,2016-01-01
900630000,13,2016-01-01
620192000,35,2016-01-01
843149200,33,2016-01-01
151590600,6,2016-01-01
330119800,11,2016-01-01
330129910,16,2016-01-01
330190100,10,2016-01-01
330290900,47,2016-01-01
330730000,36,2016-01-01
340119000,29,2016-01-01
340600000,47,2016-01-01
150890900,3,2016-01-01
150990000,5,2016-01-01
151550990,3,2016-01-01
151590990,8,2016-01-01
870323190,28,2016-01-01
841370210,19,2016-01-01
848130910,59,2016-01-01
