Product,Value
291411000,143711
291413000,12387
291419100,5622
291419900,305095
291422000,20699
291423000,2537
291429000,167434
291439000,279887
291440100,2541
291440900,234364
291450000,189722
291469900,1314255
291470000,146912
291511000,110394
291512000,71324
291513000,70525
291529000,686631
291531000,5841903
291532000,5708
291533000,1325
291539000,2915597
291550000,480648
291560110,4404
291560190,439283
291560900,62371
291570400,11083
291570500,678590
291590300,124610
291590700,4741814
291612000,717381
291615000,375718
291619100,2131331
291619950,995171
291620000,5537037
291631000,1057250
291632000,18277
291639100,7658
291639900,2670537
291711000,288435
291712000,105348
291719100,25326
291719800,1082901
291733000,1227
291734000,38160
291739950,119290
291811000,98545
291812000,24754
291813000,3462
291814000,140026
291815000,222906
291816000,14173
291819980,126454
291821000,103605
291823000,476585
291829000,72126
291830000,126675
291899900,11261988
291990000,1398068
292090100,14409
292090200,78
292090850,1334201
292111000,3091
292119500,11782
292119600,63078
292119990,297697
292121000,105893
292129000,1163337
292130990,218175
292141000,20554472
292142000,34759
292143000,16810
292149000,319734
292151190,207619
292151900,56489
292159500,13590
292159900,192557
292211000,104747
292212000,34496
292213100,11357
292213900,2295
292214000,4678
292219300,2524
292219850,1100813
292221000,25800
292229000,249493
292241000,395176
292242000,52561
292249200,326349
292249850,3360650
292250000,5863672
292310000,24363
292320000,824391
292390000,1022618
292411000,3974
292419000,6137018
292421000,3908
292429100,200191
292429980,3667548
292511000,98971
292519950,4056421
292529000,2787598
292610000,8950569
292620000,24326
292690200,65788
292690950,12257503
292700000,64638
292800100,5403
292800900,5221208
292910000,143295
292990000,1972980
293020000,297145
293030000,54549
293040100,49438
293090130,25181
293090990,4187315
293110000,2646
293190100,54624
293190300,2632
293190500,1186742
293190600,1128678
293190800,14698637
293211000,199669
293212000,6984
293219000,3417590
293220100,2898
293220200,4072
293220900,2357551
293293000,17873
293299000,2589274
293311100,10242
293311900,5767
293319900,51299
293321000,5031
293329900,555373
293331000,73598
293332000,83537
293333000,79625
293339100,3234438
293339250,500408
293339400,4019946
293339990,12621306
293349900,1029635
293359200,4860
293359950,58307776
293361000,57878
293369400,5357
293369800,418140
293379000,62089942
293391100,819
293399200,10834
293399500,5139
293399800,149073397
293410000,169719
293420800,242095
293430900,5319
293491000,76046
293499600,1241979
293499900,33250681
293500900,4003716
293621000,261428
293622000,162460
293623000,6454
293624000,31557
293625000,152989
293626000,52488
293627000,51685
293628000,473379
293629000,1194764
293690000,3793993
293711000,6474791
293712000,4494
293719000,97480
293721000,8360
293722000,6109487
293729000,9025
293750000,228628
293790000,333275
293890100,2472
293890300,33445
293890900,1178386
293911000,21746785
293919000,2134697
293930000,70091
293942000,439521
293991000,213725
293999000,294305
294000000,761878
294110000,711855
294130000,428035
294190000,2767945
294200000,1119164
300120100,45823
300120900,208879
300190200,430028
300190910,54968
300190980,375599
300210100,30123188
300210910,99715823
300210980,142006125
300220000,146753002
300230000,5108345
300290100,457940
300290300,330371
300290500,2242149
300290900,18334866
300310000,11462230
300320000,3060114
300331000,4313
300339000,1597215
300340800,423422
300390000,44519009
300410000,27558928
300420000,51067565
300431000,5847986
300432000,132961627
300439000,76508709
300440200,630702
300440300,17276
300440800,24937414
300450000,6212266
300490000,1040336523
300510000,36129490
300590100,3110493
300590310,1384196
300590500,5808719
300590990,7899375
300610100,1205233
300610300,91196
300610900,12099843
300620000,3699357
300630000,652008
300640000,3324969
300650000,1684030
300660000,549598
300670000,1610494
300691000,5476493
300692000,36486
310100000,1767956
310210100,372269
310210900,152732
310229000,55336
310230900,1911997
310280000,1982
310290000,2021682
310390000,31258
310420100,294080
310420900,1554507
310430000,23214
310490000,1227826
310510000,1461306
310520100,501995
310520900,584149
310540000,26152
310551000,42732
310559000,1144165
310560000,637423
310590200,140568
320110000,19320
320120000,10855
320210000,32208
320290000,80457
320300100,1509315
320300900,460876
320411000,766673
320412000,989787
320413000,809328
320414000,995174
320415000,102165
320416000,789947
320417000,3253568
320419000,4446132
320420000,905168
320490000,554157
320500000,1684097
320611000,29987257
320619000,3506639
320620000,53425
320641000,116380
320649100,42805
320649700,8901648
320650000,61953
320710000,1262375
320720100,29779
320720900,174509
320730000,3603698
320740400,430637
320740850,1063953
320810100,899379
320810900,3343494
320820100,1838294
320820900,6078394
320890110,155869
320890190,2928503
320890910,11803095
320890990,2043806
320910000,4845650
320990000,6974935
321000100,275986
321000900,767124
321100000,487083
321210000,1557950
321290000,2052794
321310000,325170
321390000,1360434
321410100,7129688
321410900,855182
321490000,3714274
321511000,7389992
321519000,18914862
321590000,36734965
330112100,950117
330112900,254370
330113100,1717925
330113900,107645
330119200,1164722
330119800,589879
330124100,450682
330124900,19541
330125100,266759
330125900,39167
330129110,95625
330129310,7008
330129410,2771007
330129710,102643
330129790,39049
330129910,283981
330130000,148939
330190100,363846
330190300,656026
330190900,1544390
330210100,705230
330210210,19842
330210290,165744
330210400,981661
330210900,12884040
330290100,1864805
330290900,31004567
330300100,30166950
330300900,29554534
330410000,12675493
330420000,12799879
330430000,5136697
330491000,7534940
330499000,94956971
330510000,15546018
330520000,740441
330530000,1563209
330590000,14974123
330610000,14985639
330620000,248136
330690000,3956046
330710000,11022829
330720000,25956929
330730000,4006555
330741000,81407
330749000,6172676
330790000,5672365
340111000,9328362
340119000,4938875
340120100,760597
340120900,2420370
340130000,15802408
340211100,201641
340211900,2056290
340212000,1088395
340213000,4312047
340219000,2986540
340220200,2558164
340220900,34313717
340290100,14496487
340290900,6443166
340311000,163335
340319100,3105514
340319200,1028185
340319800,2507875
340391000,1096572
340399000,5521380
340420000,54162
340490000,3109462
340510000,1150851
340520000,421714
340530000,2328618
340540000,158641
340590100,841432
340590900,878462
340600000,7029553
340700000,504933
350110100,3249
350110900,11061
350190100,10454
350190900,185634
350211100,99027
350220910,2473394
350290200,40261
350290900,70274
350400100,5327537
350400900,2013781
350510100,231351
350510500,990486
350510900,3024704
350520100,35899
350520900,249735
350610000,2272234
350691000,7098358
350699000,3003992
350710000,13886
350790300,175232
350790900,4663041
360410000,113398
360610000,453317
360690100,1497
360690900,3063981
370110000,130820
370120000,46328
370130000,1848254
370191000,7987
370199000,311687
370210000,16565
370231970,4501
370232100,79561
370232200,7693
370243000,79183
370244000,67885
370252000,2375
370254000,9081
370255000,930
370296100,41532
370296900,164721
370297100,25859
370297900,7823
370298000,444364
370310000,126635
370320000,127926
370390000,398082
370400100,106441
370400900,23813
370510000,59489
370590100,3621
370590900,2114275
370610200,3254
370610990,11757
370690910,1858
370710000,83796
370790200,23888707
370790900,1482135
380110000,623023
380120100,41830
380120900,92336
380130000,304175
380190000,241287
380210000,2557960
380290000,475992
380300900,1614
380400000,176116
380590100,13406
380590900,8232
380610000,2549
380690000,1474841
380700900,58750
380850000,868211
380891100,738527
380891200,3899
380891300,39191
380891400,2814601
380891900,4493204
380892100,2124724
380892200,35314
380892500,942440
380892900,18446462
380893110,1161187
380893170,360411
380893270,5755271
380893900,142329
380894100,1146847
380894200,853860
380894900,7248805
380899100,1171561
380899900,2926816
380910100,45643
380991000,3509025
380992000,336119
380993000,129640
381010000,3303725
381090100,108288
381090900,328290
381119000,324991
381121000,1301433
381129000,1196171
381190000,4174956
381210000,751254
381220100,1000
381220900,80092
381230210,34630
381230290,703142
381230800,2030830
381300000,1156878
381400100,278817
381400900,3638805
381511000,6793411
381512000,17914370
